Demand,Cost,Price,Recession,Economy,Competition,Market Size
152,38,298.92049116490034,True,Weak,High,1498
160,40,318.92049116490034,True,Weak,High,1698
152,38,298.92049116490034,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
15520,38,298.92049116490034,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498150

152,38,298.92049116490034,True,Weak,High,1498
150,34,290,True,Weak,High,1498
150,34,290,True,Weak,High,1498
150,34,290,True,Weak,High,1498
150,34,290,True,Weak,High,1498
150,34,290,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498
152,38,298.92049116490034,True,Weak,High,1498
150,34,290,True,Weak,High,1498
150,34,290,True,Weak,High,1498
150,34,290,True,Weak,High,1498
150,34,290,True,Weak,High,1498
150,34,290,True,Weak,High,1498
150,34,290,True,Weak,High,1498
